Depthm,T_degC,Salnty,O2ml_L
0,10.5,33.44,NA
8,10.46,33.44,NA
10,10.46,33.437,NA
19,10.45,33.42,NA
20,10.45,33.421,NA
30,10.45,33.431,NA
39,10.45,33.44,NA
50,10.24,33.424,NA
58,10.06,33.42,NA
75,9.86,33.494,NA
78,9.83,33.51,NA
100,9.67,33.58,NA
117,9.5,33.64,NA
125,9.32,33.689,NA
150,8.76,33.847,NA
152,8.71,33.86,NA
200,8.53,33.876,NA
221,8.45,NA,NA
250,8.26,33.926,NA
285,7.96,33.98,NA
300,7.77,33.99,NA
373,6.8,34.04,NA
400,6.55,34.056,NA
500,5.78,34.113,NA
598,5.3,34.16,NA
600,5.29,34.161,NA
700,5.01,34.21,NA
800,4.72,34.261,NA
896,4.44,34.31,NA
0,10.1,32.95,NA
10,9.89,32.94,NA
20,9.75,32.939,NA
24,9.69,32.95,NA
30,9.52,33.013,NA
47,9.06,33.24,NA
50,9.04,33.272,NA
71,8.92,33.46,NA
75,8.83,33.488,NA
94,8.37,33.6,NA
100,8.26,33.631,NA
125,7.85,33.745,NA
140,7.64,33.8,NA
150,7.5,33.833,NA
189,6.98,33.93,NA
200,6.85,33.939,NA
250,6.32,33.943,NA
282,6.05,33.95,NA
300,5.95,33.957,NA
379,5.6,34,NA
400,5.5,34.016,NA
500,5.02,34.101,NA
565,4.74,34.16,NA
600,4.62,34.188,NA
700,4.33,34.259,NA
800,4.08,34.319,NA
840,3.99,34.34,NA
900,3.85,34.354,NA
1000,3.62,34.378,NA
1100,3.38,34.403,NA
1200,3.15,34.429,NA
1203,3.14,34.43,NA
0,10.2,32.63,NA
10,10.05,32.66,NA
20,9.95,32.66,NA
22,9.94,32.66,NA
30,9.92,32.673,NA
38,9.87,32.68,NA
49,9.62,32.75,NA
50,9.66,32.736,NA
55,9.9,32.66,NA
73,9.65,32.74,NA
75,9.62,32.765,NA
99,9.23,33.12,NA
100,9.21,33.132,NA
125,8.79,33.398,NA
150,8.37,33.605,NA
191,7.71,33.82,NA
200,7.58,33.844,NA
250,6.93,33.926,NA
290,6.47,33.93,NA
300,6.37,33.941,NA
400,5.54,34.041,NA
488,5.02,34.11,NA
500,4.97,34.113,NA
600,4.59,34.135,NA
700,4.31,34.151,NA
789,4.14,34.16,NA
800,4.11,34.169,NA
900,3.89,34.252,NA
1000,3.66,34.336,NA
1100,3.43,34.421,NA
1134,3.35,34.45,NA
0,10.4,32.68,NA
8,10.22,32.7,NA
10,10.2,32.694,NA
19,10.14,32.66,NA
20,10.14,32.657,NA
30,10.07,32.641,NA
40,9.97,NA,NA
50,9.72,32.699,NA
62,9.42,32.79,NA
75,9.32,32.967,NA
84,9.27,33.1,NA
100,9.02,33.286,NA
125,8.6,33.533,NA
127,8.56,33.55,NA
150,8.32,33.746,NA
164,8.18,33.84,NA
200,7.71,33.863,NA
242,7.16,33.89,NA
250,7.08,33.893,NA
300,6.61,33.91,NA
329,6.38,33.75,NA
400,5.79,33.955,NA
492,5.14,34,NA
500,5.1,34.01,NA
600,4.65,34.128,NA
700,4.31,34.245,NA
739,4.21,34.29,NA
800,4.07,34.309,NA
900,3.83,34.34,NA
1000,3.59,34.372,NA
1085,3.39,34.4,NA
0,10.5,32.75,NA
8,10.52,32.75,NA
10,10.51,32.748,NA
19,10.48,32.74,NA
20,10.47,32.74,NA
30,10.34,32.737,NA
37,10.2,NA,NA
50,9.85,32.738,NA
55,9.7,32.74,NA
71,9.29,32.74,NA
75,9.2,32.791,NA
100,9.35,33.42,NA
125,8.28,33.565,NA
128,8.24,33.62,NA
150,7.95,33.724,NA
191,7.5,33.78,NA
200,7.42,33.807,NA
250,6.98,33.938,NA
255,6.94,33.95,NA
300,6.54,33.988,NA
380,5.86,34,NA
400,5.77,34.012,NA
500,5.3,34.075,NA
600,4.83,34.141,NA
700,4.36,34.211,NA
755,4.1,34.25,NA
0,11.6,32.88,NA
9,11.69,32.86,NA
10,11.69,32.86,NA
20,11.66,32.86,NA
23,11.64,32.86,NA
30,11.64,32.863,NA
47,11.64,32.88,NA
50,11.61,32.882,NA
71,11.36,32.9,NA
75,11.18,32.927,NA
94,10.2,33.1,NA
100,9.9,33.165,NA
125,8.83,33.425,NA
141,8.29,33.58,NA
150,8.11,33.638,NA
187,7.65,33.8,NA
200,7.5,33.833,NA
250,6.98,33.916,NA
279,6.72,33.93,NA
300,6.54,33.944,NA
377,5.96,33.98,NA
400,5.78,33.996,NA
500,5.09,34.073,NA
568,4.68,34.13,NA
600,4.54,34.154,NA
700,4.17,34.225,NA
800,3.88,34.286,NA
846,3.78,34.31,NA
900,3.67,34.321,NA
1000,3.48,34.342,NA
1100,3.28,34.363,NA
1200,3.08,34.385,NA
1300,2.88,34.408,NA
1352,2.78,34.42,NA
0,12.5,33.17,NA
8,12.66,33.24,NA
10,12.66,33.212,NA
20,12.64,33.057,NA
21,12.64,33.04,NA
30,12.64,33.068,NA
43,12.64,33.17,NA
50,12.64,33.159,NA
65,12.63,33.13,NA
75,12.64,33.158,NA
87,12.66,33.22,NA
100,12.52,33.283,NA
125,11.94,33.383,NA
130,11.77,33.4,NA
150,10.84,33.42,NA
172,9.73,33.44,NA
200,8.9,33.518,NA
250,7.75,33.672,NA
254,8.16,33.86,NA
300,7.03,33.828,NA
341,6.76,33.95,NA
400,6.07,33.932,NA
500,5.21,33.942,NA
514,5.12,33.8,NA
600,4.71,33.996,NA
700,4.38,34.086,NA
747,4.28,34.14,NA
800,4.14,34.166,NA
900,3.89,34.217,NA
1000,3.63,34.268,NA
1100,3.37,34.32,NA
1200,3.11,34.374,NA
1212,3.08,34.38,NA
0,12.2,33.13,NA
7,12.22,32.92,NA
10,12.22,32.9,NA
19,12.23,32.84,NA
20,12.23,32.842,NA
30,12.23,32.858,NA
37,12.23,NA,NA
50,12.21,32.891,NA
55,12.2,32.9,NA
74,12.24,33.04,NA
75,12.25,33.042,NA
100,12.49,33.096,NA
111,12.6,33.12,NA
125,11.74,33.164,NA
150,9.91,33.293,NA
151,9.83,33.3,NA
200,8.3,33.66,NA
217,8.06,33.77,NA
250,7.61,33.874,NA
291,7.21,33.93,NA
300,7.1,33.934,NA
400,5.93,33.934,NA
443,5.49,33.91,NA
500,5.13,33.936,NA
600,4.67,33.993,NA
681,4.44,34.05,NA
700,4.39,34.061,NA
800,4.11,34.12,NA
900,3.84,34.179,NA
1000,3.56,34.24,NA
1016,3.52,34.25,NA
0,12,32.97,NA
9,8.86,32.94,NA
10,12,32.94,NA
20,11.99,32.94,NA
22,11.99,32.94,NA
30,11.99,32.963,NA
44,12,33.01,NA
50,11.95,33,NA
67,11.7,32.95,NA
75,11.57,32.983,NA
90,11.2,33.08,NA
100,10.67,33.15,NA
125,9.36,33.356,NA
134,8.88,33.44,NA
150,8.56,33.585,NA
174,8.31,33.78,NA
200,7.98,33.806,NA
246,NA,33.95,NA
250,7.38,33.952,NA
300,6.86,33.946,NA
319,6.68,33.98,NA
400,5.94,33.98,NA
479,5.34,33.98,NA
500,5.22,33.996,NA
600,4.73,34.082,NA
700,4.37,34.18,NA
719,4.32,34.2,NA
800,4.11,34.229,NA
900,3.84,34.266,NA
1000,3.58,34.304,NA
1100,3.32,34.343,NA
1144,3.2,34.36,NA
0,11.7,32.88,NA
8,11.62,32.84,NA
10,11.61,32.84,NA
19,11.58,32.84,NA
20,11.58,32.838,NA
30,11.58,32.821,NA
39,11.58,32.81,NA
50,11.56,32.847,NA
59,11.54,32.88,NA
75,11.31,32.827,NA
79,11.23,32.81,NA
100,10.82,32.936,NA
120,10.36,33.12,NA
125,10.21,33.147,NA
150,9.49,33.284,NA
162,9.16,33.35,NA
200,8.71,33.665,NA
240,8.49,33.95,NA
250,8.39,33.951,NA
300,7.91,33.957,NA
326,7.66,33.96,NA
400,6.99,34.03,NA
491,6.24,34.13,NA
500,6.17,34.134,NA
600,5.48,34.166,NA
700,4.89,34.18,NA
734,4.72,34.18,NA
800,4.53,34.198,NA
900,4.23,34.226,NA
1000,3.94,34.255,NA
1100,3.65,34.285,NA
1178,3.42,34.31,NA
0,11.5,32.77,NA
8,11.5,32.84,NA
10,11.5,32.843,NA
20,11.5,32.858,NA
21,11.5,32.86,NA
30,11.52,32.81,NA
41,11.53,32.75,NA
50,11.49,32.769,NA
62,11.42,32.83,NA
75,11.4,32.908,NA
82,11.37,32.95,NA
100,11.13,32.983,NA
123,10.63,33.04,NA
125,10.56,33.058,NA
150,9.73,33.302,NA
167,9.17,33.49,NA
200,8.66,33.706,NA
247,8.28,33.89,NA
250,8.25,33.898,NA
300,7.78,33.994,NA
327,7.55,34.02,NA
400,6.93,34.089,NA
481,6.3,34.13,NA
500,6.16,34.131,NA
600,5.48,34.13,NA
700,4.9,34.131,NA
720,4.8,34.13,NA
800,4.55,34.187,NA
900,4.24,34.258,NA
1000,3.93,34.332,NA
1100,3.63,34.406,NA
1118,3.57,34.42,NA
0,11.4,32.95,NA
9,11.38,32.9,NA
10,11.38,32.896,NA
20,11.39,32.864,NA
22,11.39,32.86,NA
30,11.39,32.86,NA
45,11.4,32.86,NA
50,11.35,32.846,NA
67,11.23,32.81,NA
75,11.35,32.866,NA
90,11.49,33.01,NA
100,11.07,33.087,NA
125,9.79,33.286,NA
135,9.19,33.37,NA
150,8.87,33.495,NA
176,8.56,33.69,NA
200,8.24,33.788,NA
250,7.61,33.936,NA
257,7.53,33.57,NA
300,6.93,34.005,NA
345,6.34,34,NA
400,5.87,34.05,NA
500,5.28,34.105,NA
519,5.2,34.11,NA
600,4.8,34.144,NA
700,4.39,34.179,NA
776,4.13,34.2,NA
800,4.07,34.207,NA
900,3.85,34.238,NA
1000,3.62,34.269,NA
1100,3.39,34.301,NA
1190,3.18,34.33,NA
0,11.5,32.84,NA
9,11.48,32.78,NA
10,11.48,32.781,NA
20,11.47,32.798,NA
24,11.47,32.81,NA
30,11.47,32.782,NA
47,11.48,32.7,NA
50,11.48,32.709,NA
71,11.45,32.77,NA
75,11.4,32.793,NA
94,10.97,32.92,NA
100,10.71,32.95,NA
125,9.6,33.104,NA
140,8.9,33.22,NA
150,8.62,33.342,NA
180,7.98,33.69,NA
200,7.69,33.686,NA
250,7.11,33.706,NA
274,6.9,33.73,NA
300,6.55,33.73,NA
371,5.68,33.73,NA
400,5.51,33.786,NA
500,5.11,34.006,NA
550,5.04,34.13,NA
600,4.85,34.187,NA
700,4.49,34.269,NA
800,4.14,34.308,NA
818,4.08,34.31,NA
900,3.89,34.315,NA
1000,3.65,34.321,NA
1100,3.42,34.328,NA
1200,3.18,34.337,NA
1238,3.09,34.34,NA
0,11.3,32.79,NA
10,11.25,32.81,NA
20,11.18,32.803,NA
25,11.1,32.79,NA
30,10.88,32.843,NA
50,9.88,33.08,NA
74,9.4,33.08,NA
75,9.39,33.093,NA
99,9.1,33.48,NA
100,9.08,33.492,NA
125,8.67,33.724,NA
149,8.26,33.84,NA
150,8.25,33.842,NA
200,7.57,33.859,NA
203,7.53,33.86,NA
250,6.95,33.92,NA
300,6.42,33.98,NA
400,5.71,33.952,NA
405,5.68,33.95,NA
500,5.22,34.069,NA
600,4.85,34.225,NA
603,4.84,34.23,NA
700,4.52,34.28,NA
800,4.23,34.307,NA
886,4.01,34.31,NA
900,3.98,34.313,NA
1000,3.76,34.332,NA
1100,3.54,34.352,NA
1200,3.32,34.372,NA
1300,3.1,34.394,NA
1327,3.04,34.4,NA
0,10.9,33.01,NA
10,10.77,32.92,NA
20,10.61,33.033,NA
24,10.53,33.1,NA
30,10.35,33.141,NA
49,9.77,NA,NA
50,9.75,33.243,NA
73,9.38,33.3,NA
75,9.33,33.309,NA
97,8.82,33.42,NA
100,8.77,33.444,NA
125,8.43,33.636,NA
145,8.2,33.78,NA
150,8.12,33.799,NA
192,7.47,33.89,NA
200,7.37,33.897,NA
250,6.87,33.925,NA
287,6.62,33.93,NA
300,6.56,33.944,NA
386,6.23,34.05,NA
400,6.15,34.066,NA
500,5.57,34.163,NA
578,5.11,34.22,NA
600,5.01,34.224,NA
700,4.61,34.235,NA
800,4.27,34.229,NA
846,4.14,34.22,NA
900,4.01,34.23,NA
1000,3.76,34.25,NA
1100,3.51,34.271,NA
1200,3.27,34.292,NA
1279,3.07,34.31,NA
0,11,33.28,NA
10,10.89,33.3,NA
20,10.83,33.319,NA
25,10.81,NA,NA
30,10.8,33.345,NA
50,10.61,33.416,NA
51,10.6,33.42,NA
75,9.89,33.567,NA
77,9.82,33.58,NA
100,9.27,33.671,NA
103,9.21,33.68,NA
125,8.88,33.732,NA
150,8.61,33.789,NA
155,8.57,33.8,NA
200,8.19,33.985,NA
204,8.16,34,NA
250,7.66,34,NA
300,7.17,34,NA
304,7.13,34,NA
400,6.72,34.1,NA
408,6.7,34.11,NA
500,6.11,34.169,NA
600,5.43,34.217,NA
607,5.38,34.22,NA
700,4.9,34.269,NA
792,4.5,34.31,NA
800,4.48,34.311,NA
900,4.21,34.319,NA
1000,3.95,34.329,NA
1100,3.69,34.339,NA
1106,3.67,34.34,NA
0,12,33.31,NA
10,11.88,33.26,NA
20,11.74,33.265,NA
25,11.66,33.28,NA
30,11.55,33.296,NA
50,11.12,33.39,NA
75,10.8,33.55,NA
100,10.43,33.51,NA
125,9.88,33.793,NA
150,9.29,33.87,NA
200,8.42,33.91,NA
250,7.84,33.957,NA
300,7.5,34.09,NA
400,6.59,34.09,NA
500,6.18,34.16,NA
600,5.62,34.191,NA
641,5.42,34.14,NA
700,5.2,34.225,NA
800,4.82,34.261,NA
873,4.55,34.29,NA
0,11.8,32.92,NA
10,NA,32.84,NA
20,11.51,32.937,NA
24,11.46,32.94,NA
30,11.36,32.929,NA
48,11.06,NA,NA
50,11.03,32.917,NA
71,10.64,32.95,NA
75,10.53,32.977,NA
95,9.92,33.15,NA
100,9.75,33.206,NA
125,9,33.477,NA
143,8.56,33.66,NA
150,8.49,33.702,NA
190,8.31,33.86,NA
200,8.23,33.891,NA
250,7.8,34.009,NA
283,7.46,34.05,NA
300,7.27,34.05,NA
381,6.44,34.05,NA
400,6.32,34.061,NA
500,5.8,34.127,NA
567,5.56,34.18,NA
600,5.38,34.199,NA
700,4.87,34.251,NA
800,4.39,34.295,NA
840,4.21,34.31,NA
900,4.06,34.323,NA
1000,3.82,34.345,NA
1100,3.58,34.368,NA
1152,3.45,34.38,NA
0,12.5,32.95,NA
10,12.5,33.027,NA
17,12.44,33.08,NA
20,12.43,33.072,NA
28,12.3,33.04,NA
30,12.19,33.029,NA
42,11.45,NA,NA
50,11.12,32.972,NA
65,10.72,32.99,NA
75,10.65,33.068,NA
91,10.53,33.22,NA
100,10.52,33.29,NA
115,10.5,33.12,NA
125,10.29,33.47,NA
150,9.7,33.626,NA
200,8.25,33.874,NA
204,8.12,33.89,NA
250,7.5,33.878,NA
296,7.08,33.17,NA
300,7.04,33.891,NA
393,6.18,33.98,NA
400,6.13,33.982,NA
500,5.5,34.004,NA
575,5.14,34.02,NA
600,5.03,34.033,NA
700,4.65,34.085,NA
800,4.33,34.138,NA
840,4.22,34.16,NA
900,4.07,NA,NA
1000,3.82,NA,NA
1100,3.57,NA,NA
1149,3.45,34.07,NA
0,13.7,33.35,NA
9,13.67,33.22,NA
10,13.67,33.222,NA
20,13.67,33.238,NA
21,13.67,33.24,NA
30,13.6,33.206,NA
41,13.51,33.17,NA
50,13.48,33.217,NA
60,13.47,33.26,NA
75,13.43,33.159,NA
79,13.42,33.13,NA
100,13.5,33.247,NA
118,13.56,33.42,NA
125,13.27,33.379,NA
150,12.03,33.209,NA
158,11.56,33.15,NA
200,9.83,33.323,NA
234,8.79,33.6,NA
250,8.53,33.699,NA
300,8,33.958,NA
310,7.95,34,NA
400,6.99,33.959,NA
491,6.13,33.95,NA
500,6.08,33.959,NA
600,5.52,34.057,NA
700,4.95,34.16,NA
766,4.58,34.23,NA
0,14,33.22,NA
9,13.97,33.15,NA
10,13.94,33.15,NA
20,13.6,33.15,NA
22,13.52,33.15,NA
30,13.44,33.234,NA
41,13.32,33.3,NA
50,13.35,33.235,NA
57,13.38,33.19,NA
74,13.34,33.37,NA
75,13.33,33.369,NA
100,13.17,33.34,NA
113,13.08,33.19,NA
125,12.29,33.285,NA
150,10.54,33.208,NA
155,10.17,33.19,NA
200,9.96,33.614,NA
238,9.79,34,NA
250,9.56,34.041,NA
300,8.52,34.135,NA
322,8.01,34.14,NA
400,7.06,34.213,NA
500,6.28,34.239,NA
519,6.19,34.25,NA
600,5.59,34.237,NA
700,4.96,34.225,NA
793,4.47,34.22,NA
800,4.45,NA,NA
900,4.2,NA,NA
1000,3.95,NA,NA
1100,3.7,NA,NA
1200,3.45,NA,NA
1234,3.36,NA,NA
0,13.9,33.17,NA
10,13.13,33.15,NA
20,12.84,33.137,NA
25,12.8,33.13,NA
30,12.8,33.13,NA
49,12.7,33.13,NA
50,12.66,33.127,NA
74,11.62,33.06,NA
75,11.59,33.061,NA
99,10.89,33.12,NA
100,10.85,33.124,NA
125,9.96,33.249,NA
148,9.2,33.4,NA
150,9.16,33.415,NA
195,8.42,33.73,NA
200,8.34,33.755,NA
250,7.6,33.943,NA
279,7.22,34,NA
300,7.02,33.985,NA
400,6.27,33.962,NA
406,6.24,33.96,NA
500,5.64,34.035,NA
600,5.08,34.119,NA
700,4.6,34.207,NA
714,4.54,34.22,NA
800,4.23,NA,NA
900,3.87,NA,NA
1000,3.51,NA,NA
1100,3.15,NA,NA
1110,3.11,33.93,NA
0,13.9,33.08,NA
8,13.73,33.19,NA
10,13.67,33.19,NA
19,13.37,33.15,NA
20,13.36,33.15,NA
30,13.19,33.142,NA
37,13,33.13,NA
50,12.02,33.027,NA
54,11.69,33.01,NA
71,10.87,33.21,NA
75,10.72,33.222,NA
100,9.9,33.26,NA
107,9.72,33.26,NA
125,9.22,33.405,NA
143,8.78,33.57,NA
150,8.66,33.616,NA
200,8.01,33.847,NA
205,7.96,33.86,NA
250,7.42,33.925,NA
260,7.3,33.93,NA
300,6.76,33.953,NA
374,5.9,34,NA
391,5.77,34.02,NA
400,5.7,NA,NA
500,4.92,NA,NA
593,4.19,33.86,NA
0,13.7,33.12,NA
9,13.26,33.15,NA
10,13.22,33.15,NA
20,12.86,33.15,NA
23,12.76,33.15,NA
30,12.46,33.179,NA
46,11.72,33.24,NA
50,11.54,33.229,NA
67,10.78,33.19,NA
75,10.41,33.217,NA
89,9.83,33.3,NA
100,9.53,33.394,NA
125,9.03,33.611,NA
134,8.92,33.69,NA
150,8.68,33.783,NA
181,8.31,33.91,NA
200,8.13,33.939,NA
250,7.71,33.939,NA
275,7.52,33.95,NA
300,7.25,33.963,NA
368,6.56,33.8,NA
400,6.35,34.015,NA
500,5.85,34.065,NA
552,5.67,34.09,NA
600,5.45,34.099,NA
700,5.03,34.121,NA
800,4.63,34.147,NA
842,4.48,34.16,NA
900,4.31,34.211,NA
1000,4.03,34.299,NA
1100,3.74,34.388,NA
1190,3.48,34.47,NA
0,13.9,33.13,NA
10,13.44,33.12,NA
20,13.2,33.169,NA
24,13.13,33.19,NA
30,13.02,33.185,NA
47,12.59,33.15,NA
50,12.44,33.158,NA
70,11.4,33.21,NA
75,11.23,33.196,NA
92,10.71,33.15,NA
100,10.4,33.18,NA
125,9.5,33.349,NA
138,9.09,33.48,NA
150,8.9,33.601,NA
186,8.56,33.93,NA
200,8.43,33.988,NA
250,7.95,34.026,NA
279,7.67,34.07,NA
300,7.43,34.061,NA
370,6.64,34.02,NA
400,6.36,34.046,NA
500,5.58,34.167,NA
553,5.26,34.25,NA
600,5.11,34.27,NA
700,4.79,34.313,NA
800,4.47,34.358,NA
890,4.18,34.4,NA
0,13.6,33.13,NA
9,12.98,33.15,NA
10,12.93,33.149,NA
20,12.56,33.132,NA
21,12.54,33.13,NA
30,12.5,33.131,NA
41,12.48,33.15,NA
50,12.18,33.177,NA
60,11.8,33.24,NA
75,11.44,33.441,NA
78,11.38,33.48,NA
100,10.83,33.457,NA
116,10.37,33.39,NA
125,10.02,33.435,NA
150,9.05,33.607,NA
154,8.9,33.64,NA
200,8.05,33.864,NA
235,7.7,33.96,NA
250,7.49,33.968,NA
300,6.86,33.96,NA
312,6.72,33.95,NA
376,6.19,33.98,NA
400,6.04,33.999,NA
500,5.49,34.083,NA
600,5.09,34.17,NA
634,4.98,34.2,NA
700,4.79,34.221,NA
800,4.49,34.253,NA
900,4.19,34.288,NA
1000,3.9,34.323,NA
1020,3.84,34.33,NA
0,14.2,33.37,NA
9,13.66,33.33,NA
10,13.62,33.326,NA
20,13.29,33.289,NA
23,13.2,33.28,NA
30,12.88,33.28,NA
45,12.17,33.28,NA
50,11.96,33.28,NA
67,11.32,33.28,NA
75,11.05,33.291,NA
89,10.59,33.33,NA
100,10.21,33.401,NA
125,9.43,33.598,NA
134,9.18,33.68,NA
150,8.84,33.806,NA
180,8.34,34,NA
200,8.1,33.984,NA
250,7.56,33.962,NA
274,7.35,33.96,NA
300,7.01,33.961,NA
365,6.24,33.98,NA
400,6.04,33.987,NA
500,5.67,34.02,NA
545,5.6,34.04,NA
600,5.37,34.103,NA
700,4.97,34.218,NA
800,4.57,34.335,NA
821,4.49,34.36,NA
900,4.27,NA,NA
1000,3.98,NA,NA
1100,3.7,NA,NA
1200,3.41,NA,NA
1201,3.41,34.2,NA
0,14.37,33.55,NA
9,14.23,33.55,NA
10,14.22,33.55,NA
20,14.05,33.546,NA
26,19.76,33.53,NA
30,13.83,33.534,NA
48,13.3,33.49,NA
50,13.22,33.478,NA
74,12.08,33.37,NA
75,12.03,33.371,NA
100,10.77,33.46,NA
125,10.13,33.575,NA
149,9.78,33.71,NA
150,9.76,33.718,NA
198,8.99,34.09,NA
200,8.96,34.09,NA
250,8.33,34.09,NA
298,7.8,34.09,NA
300,7.78,34.089,NA
399,6.73,34.05,NA
400,6.73,34.051,NA
500,6.55,34.183,NA
598,6.38,34.31,NA
600,6.37,34.312,NA
700,5.82,34.374,NA
800,5.23,34.413,NA
896,4.63,34.43,NA
900,4.62,34.43,NA
1000,4.3,34.419,NA
1100,3.98,34.41,NA
1200,3.66,34.403,NA
1244,3.52,34.4,NA
0,13.6,33.42,NA
9,13.65,33.49,NA
10,13.64,33.49,NA
20,13.57,33.49,NA
25,13.52,33.49,NA
30,13.51,33.521,NA
46,13.48,33.6,NA
50,13.49,33.587,NA
70,13.52,33.51,NA
75,13.46,33.516,NA
92,13.06,33.48,NA
100,12.56,33.489,NA
125,10.93,33.574,NA
136,10.18,33.64,NA
150,9.79,33.723,NA
180,9.31,33.89,NA
200,8.87,33.961,NA
250,7.87,34.09,NA
279,7.36,34.13,NA
300,7.15,34.154,NA
381,6.63,34.2,NA
400,6.56,34.203,NA
500,6.2,34.223,NA
582,5.9,34.24,NA
0,13.2,33.49,NA
9,13.26,33.49,NA
10,13.26,33.492,NA
20,13.16,33.517,NA
26,13.65,33.52,NA
30,12.96,33.544,NA
49,12.28,33.6,NA
50,12.23,33.601,NA
75,10.87,33.62,NA
100,10.16,33.62,NA
102,10.12,33.62,NA
125,9.8,33.721,NA
150,9.53,33.849,NA
152,9.51,33.86,NA
200,8.61,33.947,NA
203,8.55,33.95,NA
250,7.82,34.05,NA
300,7.2,34.131,NA
307,7.13,34.14,NA
400,6.48,34.091,NA
409,6.44,34.09,NA
500,6.04,34.161,NA
600,5.68,34.274,NA
612,5.64,34.29,NA
700,5.25,34.328,NA
800,4.83,34.373,NA
900,4.42,34.422,NA
917,4.35,34.43,NA
1000,4.11,NA,NA
1100,3.83,NA,NA
1200,3.54,NA,NA
1263,3.36,34.65,NA
0,13.65,33.51,NA
8,13.71,33.49,NA
10,13.71,33.48,NA
20,13.68,33.433,NA
23,13.67,33.42,NA
30,13.69,33.427,NA
44,13.72,33.44,NA
50,13.55,33.436,NA
68,12.79,33.4,NA
75,12.42,33.368,NA
92,11.52,33.3,NA
100,11.16,33.291,NA
125,10.18,33.333,NA
139,9.74,33.4,NA
150,9.46,33.494,NA
184,8.76,33.8,NA
200,8.5,33.865,NA
250,7.8,33.977,NA
276,7.51,33.98,NA
300,7.19,34.011,NA
366,6.45,34.09,NA
400,6.39,34.154,NA
500,6.23,34.299,NA
532,6.18,34.33,NA
600,5.83,34.382,NA
700,5.26,34.431,NA
789,4.71,34.45,NA
800,4.67,34.448,NA
900,4.35,34.43,NA
1000,4.03,34.415,NA
1100,3.71,34.401,NA
1105,3.69,34.4,NA
0,13.6,33.4,NA
9,13.61,33.33,NA
10,13.61,33.331,NA
20,13.57,33.344,NA
26,13.54,33.35,NA
30,13.53,33.358,NA
49,13.47,33.39,NA
50,13.46,33.389,NA
75,13,33.295,NA
80,12.85,33.26,NA
100,11.91,33.274,NA
102,11.8,33.28,NA
125,10.45,33.431,NA
150,9.18,33.641,NA
152,9.09,33.66,NA
200,8.45,33.867,NA
201,8.45,33.87,NA
250,7.79,33.87,NA
300,7.18,33.87,NA
400,6.4,34.061,NA
404,6.38,34.07,NA
500,5.84,34.205,NA
600,5.34,34.322,NA
610,5.26,34.4,NA
700,4.92,34.412,NA
800,4.57,34.476,NA
896,4.31,34.51,NA
900,4.3,34.511,NA
1000,4.01,34.53,NA
1100,3.71,34.55,NA
1200,3.42,34.572,NA
1235,3.32,34.58,NA
0,13.3,33.44,NA
8,13.35,33.28,NA
10,13.32,33.275,NA
20,13.11,33.236,NA
25,12.98,33.21,NA
30,12.92,33.199,NA
46,12.78,33.19,NA
50,12.75,33.192,NA
71,12.64,33.24,NA
75,12.62,33.254,NA
96,12.52,33.39,NA
100,12.31,33.407,NA
125,10.89,33.519,NA
144,9.67,33.62,NA
150,9.49,33.661,NA
191,8.66,33.91,NA
200,8.5,33.938,NA
250,7.76,34.035,NA
286,7.36,34.04,NA
300,7.22,34.04,NA
379,6.58,34.04,NA
400,6.44,34.049,NA
500,5.85,34.113,NA
552,5.6,34.16,NA
600,5.37,34.217,NA
700,4.92,34.334,NA
800,4.53,34.444,NA
843,4.38,34.49,NA
900,4.22,34.501,NA
1000,3.93,34.522,NA
1100,3.64,34.544,NA
1168,3.45,34.56,NA
0,13.89,33.42,NA
9,13.94,33.51,NA
10,13.94,33.507,NA
20,13.93,33.458,NA
25,13.92,33.42,NA
30,13.84,33.409,NA
48,13.48,33.35,NA
50,13.47,33.351,NA
75,13.07,33.31,NA
100,11.73,33.328,NA
101,11.67,33.33,NA
125,10.52,33.401,NA
150,9.55,33.51,NA
197,8.62,33.75,NA
200,8.57,33.757,NA
250,7.81,33.843,NA
296,7.27,33.86,NA
300,7.23,33.864,NA
397,6.49,33.96,NA
400,6.47,33.962,NA
500,5.9,34.02,NA
595,5.25,34.14,NA
600,5.39,34.08,NA
700,4.97,34.142,NA
800,4.62,34.207,NA
876,4.4,34.11,NA
900,4.33,34.273,NA
1000,4.03,34.342,NA
1100,3.73,34.412,NA
1200,3.43,34.485,NA
1207,3.41,34.49,NA
0,14.4,33.24,NA
9,14.23,33.42,NA
10,14.23,33.419,NA
20,14.21,33.407,NA
26,14.2,33.4,NA
30,13.97,33.37,NA
49,12.72,33.24,NA
50,12.7,33.239,NA
74,12.11,33.26,NA
75,12.04,33.259,NA
100,10.21,33.3,NA
125,9.3,33.546,NA
149,8.86,33.78,NA
150,8.84,33.78,NA
198,8.19,33.78,NA
200,8.16,33.784,NA
250,7.57,33.89,NA
300,7.05,34.02,NA
400,6.26,34.129,NA
402,6.25,34.13,NA
500,5.74,34.135,NA
600,5.34,34.14,NA
605,5.32,34.14,NA
700,4.87,34.248,NA
800,4.42,34.368,NA
898,4.02,34.49,NA
900,4.01,34.49,NA
1000,3.76,34.495,NA
1100,3.51,34.5,NA
1200,3.26,34.507,NA
1238,3.16,34.51,NA
0,13.4,33.28,NA
9,13.05,33.28,NA
10,13,33.276,NA
20,12.58,33.234,NA
