Intense,Advnt,Intel,Uncon
0.034014065,4.075,3.9,4.1
-0.586535219,3.725,3.7,3.4
0.499426028,4.525,4.54,3.6
-0.431397898,3.675,3.6,3
-0.741672541,3.45,3.367346939,3.1
-1.207084504,4.025,3.78,2.8
-0.431397898,3.725,3.76,3.2
2.05079924,4.6,4.32,4.2
0.034014065,4.675,4.510204082,2.7
1.275112634,3.6,3.68,2.7
-0.586535219,3.775,3.54,2.9
-0.431397898,3.025,2.88,2.3
0.344288707,3.525,3.72,3.1
0.344288707,3.625,3.36,3
-1.517359146,3.175,3.12,3.8
-1.207084504,3.45,3.52,2.8
0.034014065,3.9,3.76,3.4
-0.896809862,3.825,3.8,3.2
-0.741672541,3.5,3.44,2.8
-1.051947183,3.975,3.72,2.8
0.499426028,3.9,4.06,4.1
-0.741672541,3.825,3.82,2.9
-0.586535219,4.125,4.04,3.1
0.809700671,4.05,3.9,3.5
1.119975313,4.175,4.1,3.5
0.809700671,3.25,3.4,3.5
1.275112634,3.9,3.88,2.9
-0.741672541,3.4,3.54,2.8
0.189151386,3.45,3.26,3
-0.586535219,3.675,3.62,2.8
-1.517359146,3.65,3.48,3.5
-0.896809862,3.575,3.56,2.3
-1.207084504,3.425,3.2,2.7
-1.051947183,3.925,3.94,2.5
-0.431397898,3.575,3.62,2.7
-0.586535219,3.475,3.54,3.2
-0.896809862,4.275,4.16,3.2
1.119975313,4,3.96,3.9
-1.517359146,3.325,3.32,3.1
-0.586535219,4.275,4.12,3.4
-0.896809862,3.8,3.58,2.4
-1.051947183,3.5,3.26,3
-0.431397898,3.4,3.26,3.4
1.740524598,3.875,3.8,2.6
0.809700671,3.525,3.36,2.8
-0.431397898,3.925,3.78,3.1
-0.431397898,3.525,3.36,2.8
0.344288707,4,3.92,2.7
-0.121123256,3.6,3.58,2.8
-0.896809862,3.4,3.26,2.3
-1.517359146,4.65,4.48,3.8
1.895661919,4.125,3.66,3.5
-0.431397898,3.85,3.6,3.5
1.430249955,4.775,4.66,4.7
0.499426028,3.15,3.06,2.8
-0.431397898,3.825,3.66,2.7
0.65456335,4.45,4.42,4.3
0.809700671,3.525,3.46,2.3
-0.431397898,2.475,2.46,2.3
0.65456335,3.65,3.54,3.2
-1.051947183,4,3.84,2.1
-1.207084504,3.575,3.64,2.2
-0.431397898,NA,NA,3.4
-1.517359146,3.975,3.86,3.3
0.499426028,3.7,3.54,2.9
0.344288707,3.45,3.3,2.1
2.05079924,4.625,4.66,4.1
0.65456335,3.225,3.28,2.9
-1.517359146,3.65,3.56,2.2
-1.517359146,3.375,3.16,2.9
-0.896809862,3.95,3.82,3.1
0.809700671,4.675,4.6,3.9
0.344288707,4.175,4.02,3.2
-1.517359146,3.487179487,3.408163265,3.3
-0.896809862,3.75,3.64,3.1
0.809700671,3.725,3.6,3.4
-0.121123256,4.375,4.4,2.7
0.344288707,3.975,4.02,3.2
-0.896809862,4.35,4.4,2.8
-1.517359146,3.8,3.66,2.1
-1.517359146,3.9,3.8,3.2
0.189151386,2.975,3,3.2
-1.051947183,3.675,3.48,2.1
-1.517359146,3.95,3.84,2.8
-1.517359146,3.725,3.58,2.8
1.275112634,4.575,4.4,4.777777778
0.189151386,3.85,3.72,3.1
-0.896809862,3.275,3.42,3
0.65456335,3.675,3.58,3.6
0.189151386,3.575,3.5,2.8
-1.517359146,2.725,2.62,2.4
0.809700671,3.7,3.48,2.6
1.895661919,4.325,4.16,3.4
-0.741672541,3.2,3.04,3.111111111
-0.741672541,4.375,4.08,3
1.275112634,4.475,4.42,3.4
-0.741672541,3.9,3.86,2.7
-1.517359146,4.55,4.46,4.1
0.344288707,4.7,4.76,4.6
-1.362221825,3.435897436,3.448979592,2.777777778
1.895661919,3.625,3.7,3.8
-0.276260577,3.95,3.92,3.9
0.189151386,3.875,3.88,2.9
-0.431397898,NA,NA,NA
0.034014065,3.55,3.38,3.2
1.430249955,4.5,4.46,3.5
-0.896809862,3.125,3.02,3
0.964837992,4.05,4.02,2.5
0.344288707,3.1,3,2.7
0.65456335,3.8,3.8,3.2
-0.586535219,3.95,3.82,2.4
-1.051947183,4.05,3.76,2.3
1.119975313,3.95,3.76,3.5
1.740524598,4.575,4.6,2.9
-1.517359146,3.625,3.58,2.2
1.585387276,4.3,4.3,3.2
0.65456335,3.55,3.68,2.9
-1.051947183,4.275,4.16,4.1
0.034014065,3.275,3.08,2.6
1.895661919,3.65,3.5,2.8
-0.586535219,3.475,3.32,2.6
-0.431397898,3.578947368,3.541666667,2.5
-1.517359146,2.95,2.96,2.9
-1.517359146,3.375,3.24,2.7
-0.586535219,3.35,3.2,2.7
2.05079924,3.95,3.8,3.6
0.809700671,3.55,3.52,3.3
-1.051947183,4.275,4.16,3.5
-1.207084504,4.15,3.92,2.9
-0.586535219,3.85,3.8,2.5
0.034014065,3.3,3.22,2.8
-0.276260577,3.425,3.44,2.4
1.275112634,3.15,3.26,3.7
-0.896809862,3.75,3.84,3.4
-1.517359146,3.55,3.46,2.7
0.034014065,3.95,3.92,2.6
0.964837992,4,3.76,3.7
-0.586535219,3.725,3.7,3.1
-0.121123256,3.675,3.76,3.2
-0.896809862,3.775,3.78,4.1
-1.051947183,3.8,3.66,3.2
1.119975313,3.85,3.86,2.7
0.344288707,4.5,4.44,3.9
0.499426028,3.125,3,2
1.740524598,3.7,3.86,3.3
