Country_name,Region,Happiness_score,Log_GDP,Social_support,Healthy_life_expectancy,Freedom,Generosity,Corruption
Hong Kong S.A.R. of China,Asia,5.316,1.909,1.184,0.857,0.485,0.147,0.598
Albania,Eastern Europe,5.304,1.438,0.924,0.638,0.69,0.138,0.951
Congo (Brazzaville),Africa,5.221,0.892,0.622,0.306,0.523,0.124,0.862
Mozambique,Africa,5.216,0.56,0.883,0.156,0.728,0.158,0.804
Georgia,Eastern Europe,5.185,1.467,0.99,0.524,0.68,0,0.826
Iraq,Middele East,5.166,1.249,0.996,0.498,0.425,0.141,0.952
Nepal,Asia,5.158,0.965,0.99,0.443,0.653,0.209,0.885
Laos,Asia,5.139,1.208,0.846,0.423,0.796,0.17,0.833
Gabon,Africa,5.106,1.403,1.038,0.344,0.516,0.045,0.9
Ivory Coast,Africa,5.08,1.08,0.578,0.288,0.547,0.12,0.836
Guinea,Africa,5.023,0.831,0.622,0.236,0.521,0.21,0.893
Turkiye,Western Europe,4.975,1.702,1.175,0.631,0.202,0.068,0.885
Senegal,Africa,4.969,0.927,0.751,0.392,0.607,0.152,0.931
Iran,Middele East,4.923,1.435,1.136,0.571,0.366,0.235,0.877
Azerbaijan,Eastern Europe,4.893,1.433,0.876,0.496,0.668,0.112,0.801
Nigeria,Africa,4.881,1.042,1.075,0.256,0.566,0.201,0.981
Cameroon,Africa,4.874,0.943,0.856,0.288,0.521,0.126,0.94
Ukraine,Eastern Europe,4.873,1.35,1.315,0.513,0.631,0.285,0.975
Namibia,Africa,4.832,1.266,1.212,0.307,0.47,0.069,0.939
Morocco,Africa,4.795,1.213,0.471,0.495,0.631,0.042,0.918
Pakistan,Middele East,4.657,1.069,0.6,0.321,0.542,0.144,0.926
Niger,Africa,4.556,0.573,0.677,0.293,0.615,0.145,0.853
Burkina Faso,Africa,4.548,0.756,0.685,0.274,0.483,0.173,0.821
Mauritania,Africa,4.505,1.078,0.705,0.4,0.343,0.133,0.802
Gambia,Africa,4.485,0.75,0.684,0.33,0.459,0.324,0.952
Chad,Africa,4.471,0.603,0.805,0.199,0.411,0.218,0.887
Kenya,Africa,4.47,1.037,0.895,0.353,0.519,0.282,0.931
Tunisia,Africa,4.422,1.306,0.955,0.579,0.254,0.024,0.982
Benin,Africa,4.377,0.914,0.128,0.284,0.567,0.112,0.748
Uganda,Africa,4.372,0.772,1.151,0.373,0.587,0.178,0.946
Myanmar,Asia,4.354,0.978,0.988,0.436,0.45,0.401,0.826
Cambodia,Asia,4.341,1.011,1.019,0.442,0.863,0.17,0.929
Ghana,Africa,4.289,1.077,0.747,0.36,0.623,0.183,0.972
Liberia,Africa,4.269,0.619,0.673,0.301,0.546,0.178,0.925
Mali,Africa,4.232,0.747,0.688,0.267,0.586,0.12,0.91
Madagascar,Africa,4.228,0.628,0.823,0.333,0.25,0.172,0.877
Togo,Africa,4.214,0.758,0.586,0.32,0.453,0.127,0.844
Jordan,Middele East,4.186,1.262,0.983,0.594,0.593,0.059,0.811
India,Asia,4.054,1.166,0.653,0.417,0.767,0.174,0.878
Egypt,Africa,3.977,1.37,0.996,0.488,0.49,0.025,0.741
Sri Lanka,Asia,3.898,1.361,1.179,0.586,0.583,0.144,0.969
Bangladesh,Asia,3.886,1.122,0.249,0.513,0.775,0.14,0.833
Ethiopia,Africa,3.861,0.792,0.915,0.42,0.441,0.27,0.899
Tanzania,Africa,3.781,0.82,0.706,0.38,0.709,0.191,0.743
Comoros,Africa,3.566,0.896,0.328,0.37,0.172,0.128,0.84
Yemen,Middele East,3.561,0.671,1.281,0.293,0.362,0.08,0.887
Zambia,Africa,3.502,0.899,0.809,0.264,0.727,0.168,0.891
Eswatini,Africa,3.502,1.255,0.925,0.176,0.284,0.059,0.884
Malawi,Africa,3.421,0.617,0.41,0.349,0.571,0.135,0.864
Botswana,Africa,3.383,1.445,0.969,0.241,0.567,0.014,0.918
Zimbabwe,Africa,3.341,0.748,0.85,0.232,0.487,0.096,0.869
Congo (Kinshasa),Africa,3.295,0.534,0.665,0.262,0.473,0.189,0.928
Sierra Leone,Africa,3.245,0.654,0.566,0.253,0.469,0.181,0.947
Lesotho,Africa,3.186,0.771,0.851,0,0.523,0.082,0.915
Lebanon,Middele East,2.707,1.377,0.577,0.556,0.173,0.068,0.971
Afghanistan,Middele East,1.721,0.628,0,0.242,0,0.091,0.912
